WordId,Word,Reading,Difficulty,Category,RequiredLevel,ResearchTimeSeconds
1,ＣＤプレーヤー,しーでぃーぷれーやー,9,OBJECT,17,2430
2,Ｔシャツ,てぃーしゃつ,5,OBJECT,9,750
3,Ｔバック,てぃーばっく,5,OBJECT,9,750
4,明白,めいはく,3,ADJECTIVE,5,270
5,彼処,あそこ,2,OBJECT,3,120
6,あっさり,あっさり,3,VERB,5,270
7,あっという間に,あっというまに,6,OTHER,11,1080
8,彼の,あの,1,ADJECTIVE,1,30
9,あの人,あのひと,3,OTHER,5,270
10,あの方,あのかた,3,OTHER,5,270
11,あべこべ,あべこべ,3,ADJECTIVE,5,270
12,あやふや,あやふや,3,ADJECTIVE,5,270
13,あら,あら,1,OTHER,1,30
14,彼,あれ,1,OBJECT,1,30
15,あんな,あんな,2,ADJECTIVE,3,120
16,否々,いやいや,3,OTHER,5,270
17,如何にも,いかにも,3,OTHER,5,270
18,行けない,いけない,3,ADJECTIVE,5,270
19,いざこざ,いざこざ,3,OBJECT,5,270
20,いそいそ,いそいそ,3,VERB,5,270
21,いらっしゃい,いらっしゃい,5,OTHER,9,750
22,いらっしゃいませ,いらっしゃいませ,7,OTHER,13,1470
23,居らっしゃる,いらっしゃる,5,VERB,9,750
24,うずうず,うずうず,3,VERB,5,270
25,うっかり,うっかり,3,VERB,5,270
26,うとうと,うとうと,3,VERB,5,270
27,畝り,うねり,2,OBJECT,3,120
28,うろうろ,うろうろ,3,VERB,5,270
29,うん,うん,1,OTHER,1,30
30,うんこ,うんこ,2,VERB,3,120
31,うんざり,うんざり,3,VERB,5,270
32,ウンチ,うんち,2,VERB,3,120
33,ええ,ええ,1,ADJECTIVE,1,30
34,えっと,えっと,2,OTHER,3,120
35,おい,おい,1,OTHER,1,30
36,おしっこ,おしっこ,3,VERB,5,270
37,おっさん,おっさん,3,OBJECT,5,270
38,おっぱい,おっぱい,3,OBJECT,5,270
39,御田,おでん,2,FOOD,3,120
40,オドオド,おどおど,3,VERB,5,270
41,おなら,おなら,2,OBJECT,3,120
42,お負けに,おまけに,3,OTHER,5,270
43,おめでとう御座います,おめでとうございます,9,OTHER,17,2430
44,おや,おや,1,OTHER,1,30
45,おろおろ,おろおろ,3,VERB,5,270
46,お握り,おにぎり,3,FOOD,5,270
47,お化け,おばけ,2,OBJECT,3,120
48,お菓子,おかし,2,OBJECT,3,120
49,お願いします,おねがいします,6,OTHER,11,1080
50,お願いいたします,おねがいいたします,8,OTHER,15,1920
51,お帰りなさい,おかえりなさい,6,OTHER,11,1080
52,お客様,おきゃくさま,5,OBJECT,9,750
53,お休みなさい,おやすみなさい,6,OTHER,11,1080
54,お金,おかね,2,OBJECT,3,120
55,お兄さん,おにいさん,4,OBJECT,7,480
56,お好み焼き,おこのみやき,5,FOOD,9,750
57,お絞り,おしぼり,3,OBJECT,5,270
58,お参り,おまいり,3,VERB,5,270
59,お産,おさん,2,OBJECT,3,120
60,お仕舞い,おしまい,3,OBJECT,5,270
61,お使い,おつかい,3,OBJECT,5,270
62,お姉さん,おねえさん,4,OBJECT,7,480
63,お子様,おこさま,3,OBJECT,5,270
64,お辞儀,おじぎ,2,VERB,3,120
65,お邪魔します,おじゃまします,6,OTHER,11,1080
66,お守り,おまもり,3,OBJECT,5,270
67,お手上げ,おてあげ,3,OBJECT,5,270
68,お手洗い,おてあらい,4,OBJECT,7,480
69,お手伝いさん,おてつだいさん,6,OBJECT,11,1080
70,お巡りさん,おまわりさん,5,OBJECT,9,750
71,お嬢さん,おじょうさん,5,OBJECT,9,750
72,お世辞,おせじ,2,OBJECT,3,120
73,お世話になる,おせわになる,5,VERB,9,750
74,お先に,おさきに,3,OTHER,5,270
75,お前,おまえ,2,OBJECT,3,120
76,お祖父さん,おじいさん,4,OBJECT,7,480
77,お祖母さん,おばあさん,4,OBJECT,7,480
78,お早うございます,おはようございます,8,OTHER,15,1920
79,お袋,おふくろ,3,OBJECT,5,270
80,お大事に,おだいじに,4,OTHER,7,480
81,お宅,おたく,2,OBJECT,3,120
82,お誕生日おめでとうございます,おたんじょうびおめでとうございます,16,OTHER,31,7680
83,お茶,おちゃ,2,VERB,3,120
84,お喋り,おしゃべり,4,VERB,7,480
85,お天気,おてんき,3,OBJECT,5,270
86,お土産,おみやげ,3,OBJECT,5,270
87,お凸,おでこ,2,ANIMAL,3,120
88,お疲れ様,おつかれさま,5,OTHER,9,750
89,お父さん,おとうさん,4,OBJECT,7,480
90,お腹,おなか,2,OBJECT,3,120
91,お返し,おかえし,3,VERB,5,270
92,お母さん,おかあさん,4,OBJECT,7,480
93,お墨付き,おすみつき,4,OBJECT,7,480
94,お話中,おはなしちゅう,6,ADJECTIVE,11,1080
95,お洒落,おしゃれ,3,VERB,5,270
96,畏まりました,かしこまりました,7,OTHER,13,1470
97,かしら,かしら,2,OTHER,3,120
98,カチカチ,かちかち,3,ADJECTIVE,5,270
99,カッと,かっと,2,VERB,3,120
100,かな,かな,1,OTHER,1,30
101,敵わない,かなわない,4,ADJECTIVE,7,480
102,かも知れない,かもしれない,5,OTHER,9,750
103,かも知れません,かもしれません,6,OTHER,11,1080
104,から,から,1,OTHER,1,30
105,からり,からり,2,OTHER,3,120
106,か弱い,かよわい,3,ADJECTIVE,5,270
107,がさがさ,がさがさ,3,VERB,5,270
108,ガタガタ,がたがた,3,VERB,5,270
109,がっかり,がっかり,3,VERB,5,270
110,がっくり,がっくり,3,VERB,5,270
111,がっしり,がっしり,3,VERB,5,270
112,がっちり,がっちり,3,VERB,5,270
113,がぶがぶ,がぶがぶ,3,ADJECTIVE,5,270
114,がやがや,がやがや,3,VERB,5,270
115,きちっと,きちっと,3,VERB,5,270
116,きちんと,きちんと,3,VERB,5,270
117,きっちり,きっちり,3,VERB,5,270
118,屹度,きっと,2,OTHER,3,120
119,きっぱり,きっぱり,3,VERB,5,270
120,きつい,きつい,2,ADJECTIVE,3,120
121,キョロキョロ,きょろきょろ,5,VERB,9,750
122,キラキラ,きらきら,3,VERB,5,270
123,ぎこちない,ぎこちない,4,ADJECTIVE,7,480
124,刻々,ぎざぎざ,3,VERB,5,270
125,ぎっしり,ぎっしり,3,OTHER,5,270
126,ぎゅうぎゅう,ぎゅうぎゅう,5,ADJECTIVE,9,750
127,ぎゅっと,ぎゅっと,3,VERB,5,270
128,ぎょっと,ぎょっと,3,VERB,5,270
129,ギラギラ,ぎらぎら,3,VERB,5,270
130,限り限り,ぎりぎり,3,ADJECTIVE,5,270
131,くしゃくしゃ,くしゃくしゃ,5,VERB,9,750
132,嚏,くしゃみ,3,VERB,5,270
133,擽ったい,くすぐったい,5,ADJECTIVE,9,750
134,擽る,くすぐる,3,VERB,5,270
135,くたくた,くたくた,3,ADJECTIVE,5,270
136,くたばる,くたばる,3,VERB,5,270
137,草臥れる,くたびれる,4,VERB,7,480
138,くっきり,くっきり,3,VERB,5,270
139,くっ付く,くっつく,3,VERB,5,270
140,くっ付ける,くっつける,4,VERB,7,480
141,くどくど,くどくど,3,VERB,5,270
142,隈なく,くまなく,3,OTHER,5,270
143,くよくよ,くよくよ,3,VERB,5,270
144,比べ,くらべ,2,OBJECT,3,120
145,くるくる,くるくる,3,VERB,5,270
146,愚図愚図,ぐずぐず,3,VERB,5,270
147,ぐっすり,ぐっすり,3,OTHER,5,270
148,ぐったり,ぐったり,3,VERB,5,270
149,グラグラ,ぐらぐら,3,VERB,5,270
150,ぐるぐる,ぐるぐる,3,OTHER,5,270
151,けじめ,けじめ,2,OBJECT,3,120
152,けど,けど,1,OTHER,1,30
153,斯う,こう,1,OTHER,1,30
154,こう言う,こういう,3,ADJECTIVE,5,270
155,こうすると,こうすると,4,OTHER,7,480
156,こうすれば,こうすれば,4,OTHER,7,480
157,こそ,こそ,1,OTHER,1,30
158,こそこそ,こそこそ,3,VERB,5,270
159,拘る,こだわる,3,VERB,5,270
160,此方,こちら,2,OTHER,3,120
161,こっそり,こっそり,3,OTHER,5,270
162,コツコツ,こつこつ,3,OTHER,5,270
163,事がある,ことがある,4,VERB,7,480
164,ことが出来る,ことができる,5,VERB,9,750
165,悉く,ことごとく,4,OTHER,7,480
166,事になる,ことになる,4,VERB,7,480
167,事によって,ことによって,5,OTHER,9,750
168,このため,このため,3,OTHER,5,270
169,この外,このほか,3,OTHER,5,270
170,この間,このあいだ,4,OBJECT,7,480
171,この頃,このごろ,3,OBJECT,5,270
172,この辺,このへん,3,OBJECT,5,270
173,此れから,これから,3,OTHER,5,270
174,これで,これで,2,OTHER,3,120
175,これ迄,これまで,3,ADJECTIVE,5,270
176,これ等,これら,2,OTHER,3,120
177,コロコロ,ころころ,3,VERB,5,270
178,こんな,こんな,2,ADJECTIVE,3,120
179,こんなに,こんなに,3,OTHER,5,270
180,ゴミ箱,ごみばこ,3,OBJECT,5,270
181,ゴロゴロ,ごろごろ,3,VERB,5,270
182,ご苦労様,ごくろうさま,5,ADJECTIVE,9,750
183,ご馳走様でした,ごちそうさまでした,8,OTHER,15,1920
184,さあ,さあ,1,OTHER,1,30
185,さえ,さえ,1,OTHER,1,30
186,させる,させる,2,VERB,3,120
187,先,さっき,2,OBJECT,3,120
188,さっさと,さっさと,3,OTHER,5,270
189,颯と,さっと,2,OTHER,3,120
190,さっぱり,さっぱり,3,VERB,5,270
191,さらさら,さらさら,3,VERB,5,270
192,さん,さん,1,OTHER,1,30
193,ざっと,ざっと,2,OTHER,3,120
194,ザラザラ,ざらざら,3,VERB,5,270
195,ざわざわ,ざわざわ,3,VERB,5,270
196,しか,しか,1,OTHER,1,30
197,頻りに,しきりに,3,OTHER,5,270
198,しくじる,しくじる,3,VERB,5,270
199,執拗い,しつこい,3,ADJECTIVE,5,270
200,しとしと,しとしと,3,VERB,5,270
201,屡々,しばしば,3,OTHER,5,270
202,仕舞った,しまった,3,OTHER,5,270
203,沁み沁み,しみじみ,3,OTHER,5,270
204,しゃがむ,しゃがむ,3,VERB,5,270
205,吃逆,しゃっくり,4,VERB,7,480
206,しゃぶしゃぶ,しゃぶしゃぶ,5,FOOD,9,750
207,しょっちゅう,しょっちゅう,5,OTHER,9,750
208,しょんぼり,しょんぼり,4,VERB,7,480
209,しんどい,しんどい,3,ADJECTIVE,5,270
210,じっくり,じっくり,3,OTHER,5,270
211,凝乎と,じっと,2,VERB,3,120
212,じめじめ,じめじめ,3,VERB,5,270
213,じゃあ,じゃあ,2,OTHER,3,120
214,じゃが芋,じゃがいも,4,OBJECT,7,480
215,じゃぶじゃぶ,じゃぶじゃぶ,5,OTHER,9,750
216,じゃん拳,じゃんけん,4,VERB,7,480
217,すっかり,すっかり,3,OTHER,5,270
218,すっきり,すっきり,3,VERB,5,270
219,すっと,すっと,2,VERB,3,120
220,す可き,すべき,2,OTHER,3,120
221,すやすや,すやすや,3,OTHER,5,270
222,スラスラ,すらすら,3,OTHER,5,270
223,すると,すると,2,OTHER,3,120
224,擦れ擦れ,すれすれ,3,ADJECTIVE,5,270
225,ずきずき,ずきずき,3,VERB,5,270
226,ずっと,ずっと,2,OTHER,3,120
227,ズバリ,ずばり,2,OTHER,3,120
228,ずらす,ずらす,2,VERB,3,120
229,ずるずる,ずるずる,3,ADJECTIVE,5,270
230,ずれる,ずれる,2,VERB,3,120
231,せかせか,せかせか,3,VERB,5,270
232,せがむ,せがむ,2,VERB,3,120
233,せず,せず,1,OTHER,1,30
234,せずに,せずに,2,OTHER,3,120
235,せっかち,せっかち,3,ADJECTIVE,5,270
236,せめて,せめて,2,OTHER,3,120
237,其奴,そいつ,2,OTHER,3,120
238,そう,そう,1,ADJECTIVE,1,30
239,そうすると,そうすると,4,OTHER,7,480
240,そうだ,そうだ,2,OTHER,3,120
241,其処,そこ,1,OTHER,1,30
242,而して,そして,2,OTHER,3,120
243,そそっかしい,そそっかしい,5,ADJECTIVE,9,750
244,其方,そちら,2,OTHER,3,120
245,そっくり,そっくり,3,ADJECTIVE,5,270
246,そっと,そっと,2,VERB,3,120
247,其の,その,1,ADJECTIVE,1,30
248,その上,そのうえ,3,OBJECT,5,270
249,その他,そのほか,3,ADJECTIVE,5,270
250,その内,そのうち,3,OTHER,5,270
251,抑,そもそも,3,ADJECTIVE,5,270
252,そよ風,そよかぜ,3,OBJECT,5,270
253,其れ,それ,1,OTHER,1,30
254,其れから,それから,3,OTHER,5,270
255,其れで,それで,2,OTHER,3,120
256,其れとも,それとも,3,OTHER,5,270
257,其れに,それに,2,OTHER,3,120
258,それ程,それほど,3,OTHER,5,270
259,それ等,それら,2,OTHER,3,120
260,そわそわ,そわそわ,3,VERB,5,270
261,そんな,そんな,2,ADJECTIVE,3,120
262,ぞくぞく,ぞくぞく,3,VERB,5,270
263,ぞろぞろ,ぞろぞろ,3,OTHER,5,270
264,ぞんざい,ぞんざい,3,ADJECTIVE,5,270
265,たった,たった,2,ADJECTIVE,3,120
266,たっぷり,たっぷり,3,VERB,5,270
267,度に,たびに,2,OTHER,3,120
268,たらたら,たらたら,3,OTHER,5,270
269,だから,だから,2,OTHER,3,120
270,丈,だけ,1,OTHER,1,30
271,だけでなく,だけでなく,4,OTHER,7,480
272,だけど,だけど,2,OTHER,3,120
273,だったら,だったら,3,OTHER,5,270
274,だぶだぶ,だぶだぶ,3,VERB,5,270
275,だらけ,だらけ,2,OTHER,3,120
276,だらし無い,だらしない,4,ADJECTIVE,7,480
277,だらだら,だらだら,3,VERB,5,270
278,怠い,だるい,2,ADJECTIVE,3,120
